Test Image,Shared Image,Test Image Name,Shared Image Name,Similarity,,,,,,,,,,,,,,,
2.jpg,0.jpg,Pants,Pants,0.651733114,,,,,,,,,,,,,,,
2.jpg,0.jpg,Pants,Top,0.371328985,,,,,,,,,,,,,,,
2.jpg,0.jpg,Pants,Shoe,0.364695645,,,,,,,,,,,,,,,
2.jpg,0.jpg,Pants,Shoe,0.348322453,,,,,,,,,,,,,,,
2.jpg,1.png,Pants,Pants,0.726484251,,,,,,,,,,,,,,,
2.jpg,1.png,Pants,Top,0.40399762,,,,,,,,,,,,,,,
2.jpg,1.png,Pants,Hat,0.388156442,,,,,,,,,,,,,,,
2.jpg,1.png,Pants,Shoe,0.256904263,,,,,,,,,,,,,,,
2.jpg,2.jpg,Pants,Pants,0.99,,,,,,,,,,,,,,,
2.jpg,2.jpg,Pants,Top,0.421518648,,,,,,,,,,,,,,,
2.jpg,2.jpg,Pants,Shoe,0.309656607,,,,,,,,,,,,,,,
2.jpg,2.jpg,Pants,Shoe,0.313611886,,,,,,,,,,,,,,,
2.jpg,0.jpg,Top,Pants,0.415863794,,,,,,,,,,,,,,,
2.jpg,0.jpg,Top,Top,0.703865721,,,,,,,,,,,,,,,
2.jpg,0.jpg,Top,Shoe,0.462815741,,,,,,,,,,,,,,,
2.jpg,0.jpg,Top,Shoe,0.41610242,,,,,,2.jpg,2.jpg,2.jpg,2.jpg,3.jpg,3.jpg,3.jpg,3.jpg,4.jpg,4.jpg
2.jpg,1.png,Top,Pants,0.426154159,,,,,,Pants,Top,Shoe,Shoe,Pants,Top,Shoe,Shoe,Pants,Top
2.jpg,1.png,Top,Top,0.615026115,,,,0.jpg,Pants,0.651733114,0.415863794,0.464686054,0.463754644,0.713638553,0.485482227,0.415592102,0.420959456,0.710851328,0.340465966
2.jpg,1.png,Top,Hat,0.446257049,,,,0.jpg,Top,0.371328985,0.703865721,0.277164923,0.275699661,0.31450978,0.70195286,0.228217095,0.23626079,0.306142197,0.765845865
2.jpg,1.png,Top,Shoe,0.34699693,,,,0.jpg,Shoe,0.364695645,0.462815741,0.623687613,0.62505959,0.556957275,0.299692521,0.587726296,0.587946338,0.576872377,0.318754907
2.jpg,2.jpg,Top,Pants,0.418129133,,,,0.jpg,Shoe,0.348322453,0.41610242,0.626680892,0.734400686,0.52221483,0.301512282,0.664101352,0.724927931,0.528591605,0.311210108
2.jpg,2.jpg,Top,Top,0.99,,,,1.png,Pants,0.726484251,0.426154159,0.458856772,0.459652229,0.897562671,0.471199726,0.512026208,0.516953576,0.751760963,0.396373893
2.jpg,2.jpg,Top,Shoe,0.291670144,,,,1.png,Top,0.40399762,0.615026115,0.249889888,0.247898863,0.29338624,0.683291609,0.199534022,0.199018652,0.324024604,0.670809169
2.jpg,2.jpg,Top,Shoe,0.428206214,,,,1.png,Hat,0.388156442,0.446257049,0.258205221,0.259069995,0.533602038,0.33743283,0.309284946,0.314369657,0.446894546,0.366836395
2.jpg,0.jpg,Shoe,Pants,0.464686054,,,,1.png,Shoe,0.256904263,0.34699693,0.589315429,0.589287264,0.383441519,0.29831675,0.534441453,0.53098533,0.488613515,0.26651264
2.jpg,0.jpg,Shoe,Top,0.277164923,,,,2.jpg,Pants,0.99,0.418129133,0.306493509,0.30835623,0.673238678,0.568153334,0.266429165,0.264507888,0.653554662,0.353410672
2.jpg,0.jpg,Shoe,Shoe,0.623687613,,,,2.jpg,Top,0.421518648,0.99,0.291670144,0.428206214,0.384688949,0.562077324,0.255551817,0.258097524,0.39683439,0.681783835
2.jpg,0.jpg,Shoe,Shoe,0.626680892,,,,2.jpg,Shoe,0.309656607,0.291670144,0.99,0.656258596,0.432980367,0.239638966,0.587670634,0.584782779,0.449717918,0.263890659
2.jpg,1.png,Shoe,Pants,0.458856772,,,,2.jpg,Shoe,0.313611886,0.428206214,0.656258596,0.99,0.434121178,0.238921272,0.588692473,0.585792746,0.449834481,0.263930793
2.jpg,1.png,Shoe,Top,0.249889888,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Hat,0.258205221,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Shoe,0.589315429,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Pants,0.306493509,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Top,0.291670144,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Shoe,0.99,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Shoe,0.656258596,,,,,,,,,,,,,,,
2.jpg,0.jpg,Shoe,Pants,0.463754644,,,,,,,,,,,,,,,
2.jpg,0.jpg,Shoe,Top,0.275699661,,,,,,,,,,,,,,,
2.jpg,0.jpg,Shoe,Shoe,0.62505959,,,,,,,,,,,,,,,
2.jpg,0.jpg,Shoe,Shoe,0.734400686,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Pants,0.459652229,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Top,0.247898863,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Hat,0.259069995,,,,,,,,,,,,,,,
2.jpg,1.png,Shoe,Shoe,0.589287264,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Pants,0.30835623,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Top,0.428206214,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Shoe,0.656258596,,,,,,,,,,,,,,,
2.jpg,2.jpg,Shoe,Shoe,0.99,,,,,,,,,,,,,,,
3.jpg,0.jpg,Pants,Pants,0.713638553,,,,,,,,,,,,,,,
3.jpg,0.jpg,Pants,Top,0.31450978,,,,,,,,,,,,,,,
3.jpg,0.jpg,Pants,Shoe,0.556957275,,,,,,,,,,,,,,,
3.jpg,0.jpg,Pants,Shoe,0.52221483,,,,,,,,,,,,,,,
3.jpg,1.png,Pants,Pants,0.897562671,,,,,,,,,,,,,,,
3.jpg,1.png,Pants,Top,0.29338624,,,,,,,,,,,,,,,
3.jpg,1.png,Pants,Hat,0.533602038,,,,,,,,,,,,,,,
3.jpg,1.png,Pants,Shoe,0.383441519,,,,,,,,,,,,,,,
3.jpg,2.jpg,Pants,Pants,0.673238678,,,,,,,,,,,,,,,
3.jpg,2.jpg,Pants,Top,0.384688949,,,,,,,,,,,,,,,
3.jpg,2.jpg,Pants,Shoe,0.432980367,,,,,,,,,,,,,,,
3.jpg,2.jpg,Pants,Shoe,0.434121178,,,,,,,,,,,,,,,
3.jpg,0.jpg,Top,Pants,0.485482227,,,,,,,,,,,,,,,
3.jpg,0.jpg,Top,Top,0.70195286,,,,,,,,,,,,,,,
3.jpg,0.jpg,Top,Shoe,0.299692521,,,,,,,,,,,,,,,
3.jpg,0.jpg,Top,Shoe,0.301512282,,,,,,,,,,,,,,,
3.jpg,1.png,Top,Pants,0.471199726,,,,,,,,,,,,,,,
3.jpg,1.png,Top,Top,0.683291609,,,,,,,,,,,,,,,
3.jpg,1.png,Top,Hat,0.33743283,,,,,,,,,,,,,,,
3.jpg,1.png,Top,Shoe,0.29831675,,,,,,,,,,,,,,,
3.jpg,2.jpg,Top,Pants,0.568153334,,,,,,,,,,,,,,,
3.jpg,2.jpg,Top,Top,0.562077324,,,,,,,,,,,,,,,
3.jpg,2.jpg,Top,Shoe,0.239638966,,,,,,,,,,,,,,,
3.jpg,2.jpg,Top,Shoe,0.238921272,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Pants,0.415592102,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Top,0.228217095,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Shoe,0.587726296,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Shoe,0.664101352,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Pants,0.512026208,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Top,0.199534022,,,,,,,,,,,,,,,
